,contract_type_id,payment_type_id,internet_service_type_id,customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,churn,internet_service_type,payment_type,contract_type
0,2,2,1,0002-ORFBO,Female,0,Yes,Yes,9,Yes,No,No,Yes,No,Yes,Yes,No,Yes,65.6,593.3,No,DSL,Mailed check,One year
1,1,2,1,0003-MKNFE,Male,0,No,No,9,Yes,Yes,No,No,No,No,No,Yes,No,59.9,542.4,No,DSL,Mailed check,Month-to-month
2,1,1,2,0004-TLHLJ,Male,0,No,No,4,Yes,No,No,No,Yes,No,No,No,Yes,73.9,280.85,Yes,Fiber optic,Electronic check,Month-to-month
3,1,1,2,0011-IGKFF,Male,1,Yes,No,13,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,98.0,1237.85,Yes,Fiber optic,Electronic check,Month-to-month
4,1,2,2,0013-EXCHZ,Female,1,Yes,No,3,Yes,No,No,No,No,Yes,Yes,No,Yes,83.9,267.4,Yes,Fiber optic,Mailed check,Month-to-month
5,1,4,1,0013-MHZWF,Female,0,No,Yes,9,Yes,No,No,No,No,Yes,Yes,Yes,Yes,69.4,571.45,No,DSL,Credit card (automatic),Month-to-month
6,3,3,2,0013-SMEOE,Female,1,Yes,No,71,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,109.7,7904.25,No,Fiber optic,Bank transfer (automatic),Two year
7,3,4,2,0014-BMAQU,Male,0,Yes,No,63,Yes,Yes,Yes,No,No,Yes,No,No,Yes,84.65,5377.8,No,Fiber optic,Credit card (automatic),Two year
8,1,1,1,0015-UOCOJ,Female,1,No,No,7,Yes,No,Yes,No,No,No,No,No,Yes,48.2,340.35,No,DSL,Electronic check,Month-to-month
9,3,2,1,0016-QLJIS,Female,0,Yes,Yes,65,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,90.45,5957.9,No,DSL,Mailed check,Two year
10,3,4,1,0017-DINOC,Male,0,No,No,54,No,No phone service,Yes,No,No,Yes,Yes,No,No,45.2,2460.55,No,DSL,Credit card (automatic),Two year
11,3,4,2,0017-IUDMW,Female,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,116.8,8456.75,No,Fiber optic,Credit card (automatic),Two year
12,1,1,2,0018-NYROU,Female,0,Yes,No,5,Yes,No,No,No,No,No,No,No,Yes,68.95,351.5,No,Fiber optic,Electronic check,Month-to-month
13,3,3,2,0019-EFAEP,Female,0,No,No,72,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,101.3,7261.25,No,Fiber optic,Bank transfer (automatic),Two year
14,3,3,1,0019-GFNTW,Female,0,No,No,56,No,No phone service,Yes,Yes,Yes,Yes,No,No,No,45.05,2560.1,No,DSL,Bank transfer (automatic),Two year
15,3,4,2,0020-INWCK,Female,0,Yes,Yes,71,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,95.75,6849.4,No,Fiber optic,Credit card (automatic),Two year
16,2,2,1,0020-JDNXP,Female,0,Yes,Yes,34,No,No phone service,Yes,No,Yes,Yes,Yes,Yes,No,61.25,1993.2,No,DSL,Mailed check,One year
17,1,1,2,0021-IKXGC,Female,1,No,No,1,Yes,Yes,No,No,No,No,No,No,Yes,72.1,72.1,No,Fiber optic,Electronic check,Month-to-month
18,2,4,1,0022-TCJCI,Male,1,No,No,45,Yes,No,Yes,No,Yes,No,No,Yes,No,62.7,2791.5,Yes,DSL,Credit card (automatic),One year
19,1,1,1,0023-HGHWL,Male,1,No,No,1,No,No phone service,No,No,No,No,No,No,Yes,25.1,25.1,Yes,DSL,Electronic check,Month-to-month
